,correlation,mse,noise,label
b11_000_noise_0.5_003,0.0980992365216963,1.0998234595610492,0.5,True-False
b11_000_noise_0.5_004,0.307790245727642,0.6750797335227267,0.5,False-False
b11_000_noise_0.5_005,0.07835765326862347,0.3102650794191961,0.5,True-False
b11_000_noise_0.5_007,0.2903622460136005,0.8570487254961843,0.5,True-False
b11_000_noise_0.5_008,0.10279279824718389,0.9111258927546463,0.5,False-False
b11_000_noise_0.5_009,0.07659351419507514,0.936043073201444,0.5,True-False
b11_000_noise_0.5_010,0.12078140551643442,1.423932952913724,0.5,True-False
b11_000_noise_0.5_011,0.29983332360634696,0.4058898325704972,0.5,False-False
b11_000_noise_0.5_012,0.12897371557874573,0.8539548744214888,0.5,True-False
b11_000_noise_0.5_013,0.12093307617465575,0.48066790769550355,0.5,True-False
b11_000_noise_0.5_014,0.24055945999297199,0.627665287156788,0.5,False-False
b11_001_noise_0.5_001,0.29542627992592413,0.9592089462114005,0.5,True-False
b11_001_noise_0.5_002,0.20998032343811393,0.8138112125445511,0.5,True-False
b11_001_noise_0.5_004,0.1965262541714971,0.9113607432388211,0.5,True-False
b11_001_noise_0.5_005,0.1413638143831168,0.7032264810435144,0.5,False-False
b11_001_noise_0.5_006,0.140656777133087,0.9462407347780293,0.5,False-False
b11_001_noise_0.5_007,0.12634765025147598,0.7314787296727482,0.5,True-False
b11_001_noise_0.5_008,0.15532184748393113,0.453603670034497,0.5,False-False
b11_001_noise_0.5_009,0.17055418277855422,1.333753295839784,0.5,False-False
b11_001_noise_0.5_010,-0.008743721441702192,16.72730970896687,0.5,False-False
b11_001_noise_0.5_011,0.2440465142863769,0.653085912829972,0.5,True-False
b11_001_noise_0.5_012,0.05886869022621517,1.0792680961048025,0.5,True-False
b11_001_noise_0.5_013,0.23100385275250102,0.6064086682884036,0.5,False-False
b11_001_noise_0.5_014,0.02448882723795234,0.6641175502466352,0.5,False-False
b11_002_noise_0.5_000,0.22912225943430667,0.509288154652129,0.5,False-False
b11_002_noise_0.5_001,0.10207573055972664,0.8197638247411223,0.5,True-False
b11_002_noise_0.5_002,0.12438838533547615,0.8313900433069463,0.5,True-False
b11_002_noise_0.5_003,0.13389374772419177,1.0196508747766397,0.5,False-False
b11_002_noise_0.5_004,0.3110830854628719,0.8027524054671484,0.5,False-False
b11_002_noise_0.5_005,0.005200882594382847,2.392751636415581,0.5,False-False
b11_002_noise_0.5_006,0.013255181315613446,0.9100792123040785,0.5,True-False
b11_002_noise_0.5_007,0.022479549702104452,0.48832581852011886,0.5,True-False
b11_002_noise_0.5_008,0.22641517323526747,0.3760468577455629,0.5,False-False
