,edge,strength,tval,abstval,pval,logpval,fdr,bfr,distance,inv_dist,include,interaction,cocitation,string,genemania,npath,coexpression,experimental,database,textmining
3441,Collagenase_STAT3,0.00039571590195898904,0.20098100101274102,0.20098100101274102,0.840754340923245,0.0753308816890393,0.8914503079112281,1.0,1.0,1.0,0.0,0,0,0,0.0,3,0,0,0,0
3442,CyclinE1_STAT3,0.00109323408875765,0.996835537340054,0.996835537340054,0.319085730508348,0.496092616991229,0.433796807708524,1.0,1.0,1.0,0.0,0,1,0,0.0,2,0,0,0,0
3443,IRS1pS307_STAT3,-0.0015861807289436,-0.562395900087459,0.562395900087459,0.573972481582769,0.24110892882718302,0.6826169693649741,1.0,1.0,1.0,1.0,0,0,575,0.0,85,61,0,0,565
3444,p38_STAT3,0.0042879899783405204,1.85106133037455,1.85106133037455,0.0644557318424051,1.1907384561718501,0.11163065971671698,1.0,0.0,1.0,0.0,1,6,0,0.00011,3,0,0,0,0
3445,SMAD3pS423_STAT3,0.0126577341038613,11.0431554366552,11.0431554366552,7.846034981757158e-27,26.1053497598886,3.77549324032339e-26,6.30507371134006e-23,1.0,1.0,1.0,1,6,0,0.0,50,0,0,0,0
3446,TSC2_STAT3,-0.00116587300929785,-0.6738581372834809,0.6738581372834809,0.500557388687306,0.300546123656337,0.6167218631819971,1.0,1.0,1.0,1.0,0,0,0,0.0,6,0,0,0,0
3447,SRC_STAT3,-0.0100355052080119,-3.1749852414308704,3.1749852414308704,0.00154429939046774,2.8112684999694904,0.00340186126694045,1.0,0.0,1.0,0.0,1,28,0,0.00021,3,0,0,0,0
3448,G2M_STAT3,0.0,,,,,,,inf,inf,,0,0,0,0.0,0,0,0,0,0
3449,G1arrest_STAT3,0.0,,,,,,,inf,inf,,0,0,0,0.0,0,0,0,0,0
3450,G2arrest_STAT3,0.0,,,,,,,inf,inf,,0,0,0,0.0,0,0,0,0,0
3451,Sarrest_STAT3,0.0,,,,,,,inf,inf,,0,0,0,0.0,0,0,0,0,0
3452,cellviab_STAT3,0.0,,,,,,,inf,inf,,0,0,0,0.0,0,0,0,0,0
3453,aMEK_STAT3,0.00457327194491666,1.5199372772045499,1.5199372772045499,0.128843156421869,0.889938644300896,0.20518577476266897,1.0,inf,inf,,0,0,0,0.0,0,0,0,0,0
3454,aAKT_STAT3,-0.0391614003696876,-15.3450849477231,15.3450849477231,7.049251817005259e-48,47.1518569750638,4.973466865799319e-47,5.66477876014543e-44,inf,inf,,0,0,0,0.0,0,0,0,0,0
3455,aHDAC_STAT3,-0.543907839708321,-51.39108677258161,51.39108677258161,9.588709015370504e-283,282.018239860529,9.631858205939675e-280,7.705486564751735e-279,inf,inf,,0,0,0,0.0,0,0,0,0,0
3456,aMDM2_STAT3,-0.0131654044158605,-3.4034791501697703,3.4034791501697703,0.000691755059425382,3.1600476557902097,0.00156766600607512,1.0,inf,inf,,0,0,0,0.0,0,0,0,0,0
3457,aJAK_STAT3,0.0287519488777397,7.75226923101109,7.75226923101109,2.21602159563132e-14,13.6544260116251,7.900598732250779e-14,1.7807949542493301e-10,inf,inf,,0,0,0,0.0,0,0,0,0,0
3458,aBRAFm_STAT3,0.0051202189897118,1.3042220118741699,1.3042220118741699,0.19245830349062,0.715663346807047,0.28881324497677396,1.0,inf,inf,,0,0,0,0.0,0,0,0,0,0
3459,aPKC_STAT3,0.0523949409845347,14.397449344865699,14.397449344865699,7.60092037716527e-43,42.1191338168609,4.94582964784616e-42,6.10809961509001e-39,inf,inf,,0,0,0,0.0,0,0,0,0,0
3460,aSTAT3_STAT3,-0.0111955508399433,-3.22713491061899,3.22713491061899,0.00129102763815718,2.88906446031245,0.0028667306162561803,1.0,inf,inf,,0,0,0,0.0,0,0,0,0,0
3461,amTOR_STAT3,-0.014073090381914,-3.1413917097362702,3.1413917097362702,0.00173093329955839,2.76171966707079,0.0037849741483676797,1.0,inf,inf,,0,0,0,0.0,0,0,0,0,0
3462,aPI3K_STAT3,0.0110269064455333,2.23046780889542,2.23046780889542,0.0259378398108955,1.58606619622701,0.048951733377255995,1.0,inf,inf,,0,0,0,0.0,0,0,0,0,0
3463,aCDK4_STAT3,0.0821531037058001,20.12446820643,20.12446820643,6.99724648482078e-76,75.15507282737241,7.359930988484258e-75,5.622987275201979e-72,inf,inf,,0,0,0,0.0,0,0,0,0,0
3464,aSRC_STAT3,0.0009625822290392789,0.30167661149617603,0.30167661149617603,0.7629613855460559,0.11749744168947,0.8351938011508109,1.0,inf,inf,,0,0,0,0.0,0,0,0,0,0
3465,4EBP1pS65_STAT5,0.0007428496179297519,0.49985086262164896,0.49985086262164896,0.6172901692781539,0.209510639381906,0.718711069301542,1.0,-2.0,1.0,,0,0,421,0.0,0,61,0,0,409
3466,RbpS807_STAT5,-0.0076730837825063096,-2.7814486026752,2.7814486026752,0.005513523036065671,2.25857080655891,0.0114487522268278,1.0,1.0,1.0,1.0,0,1,227,0.0,16,0,0,0,227
3467,MAPKpT202_STAT5,-0.0116635091264025,-4.4856772595370495,4.4856772595370495,8.11154755257822e-06,5.0908962814943,2.0752752668742003e-05,0.0651843961325185,0.0,1.0,0.0,1,3,986,0.0008300000000000001,3,61,517,900,746
3468,MEKpS217_STAT5,-0.0070482791185771205,-2.45701864115708,2.45701864115708,0.0141786463797276,1.84836522880568,0.0279537787800517,1.0,0.0,1.0,0.0,1,0,0,0.0,3,0,0,0,0
3469,S6_STAT5,-0.0020240941665534,-1.71861253809796,1.71861253809796,0.0859947666497587,1.0655279776435,0.14448127635322197,1.0,-2.0,1.0,,0,1,0,0.0,0,0,0,0,0
3470,PAI-1_STAT5,-0.000832913105240684,-0.608086413421645,0.608086413421645,0.5432683787722079,0.26498557257423,0.6553144238687271,1.0,1.0,1.0,0.0,0,0,0,0.0002,7,0,0,0,0
3471,AKTpS473_STAT5,-0.0132866208542494,-4.55098075162933,4.55098075162933,5.99620412833953e-06,5.22212359091674,1.55036989624635e-05,0.0481854963753365,0.0,0.0,0.0,1,6,309,4.4e-05,3,0,124,0,244
3472,AMPKpT172_STAT5,0.00076924601007332,0.376617740880471,0.376617740880471,0.7065376776562059,0.150864673501379,0.7912119255358521,1.0,0.0,1.0,0.0,1,0,0,0.0,3,0,0,0,0
